"","SiteID","PlotID","Biomass","new.names","GS_1C_mean","G_group"
"215",33,3305,3.38,"Agropyron cristatum",13.26,"Large"
"216",57,5705,36.61,"Agropyron cristatum",6.84,"Large"
"217",51,5110,6.66,"Agropyron cristatum",6.84,"Large"
"218",61,6101,1.2,"Agropyron cristatum",6.84,"Large"
"219",1,105,3.07,"Agropyron cristatum",13.26,"Large"
"220",57,5703,49.77,"Agropyron cristatum",6.84,"Large"
"221",33,3306,5.43,"Agropyron cristatum",13.26,"Large"
"222",55,5502,9.7,"Agropyron cristatum",6.84,"Large"
"223",1,109,2.65,"Agropyron cristatum",13.26,"Large"
"224",55,5505,19.18,"Agropyron cristatum",6.84,"Large"
"225",1,104,2.02,"Agropyron cristatum",13.26,"Large"
"226",59,5905,21.74,"Agropyron cristatum",6.84,"Large"
"227",2,209,12.35,"Agropyron cristatum",13.26,"Large"
"228",53,5307,41.42,"Agropyron cristatum",6.84,"Large"
"229",43,4307,7.25,"Agropyron cristatum",13.26,"Large"
"230",45,4507,20.27,"Agropyron cristatum",13.26,"Large"
"231",43,4303,13.71,"Agropyron cristatum",13.26,"Large"
"232",57,5706,18.07,"Agropyron cristatum",6.84,"Large"
"233",45,4506,19.26,"Agropyron cristatum",13.26,"Large"
"234",32,3208,1.47,"Agropyron cristatum",13.26,"Large"
"235",43,4302,9.37,"Agropyron cristatum",13.26,"Large"
"236",4,406,2.95,"Agropyron cristatum",13.26,"Large"
"237",60,6005,3.48,"Agropyron cristatum",6.84,"Large"
"238",32,3206,0.82,"Agropyron cristatum",13.26,"Large"
"239",57,5702,51.63,"Agropyron cristatum",6.84,"Large"
"240",33,3309,5.12,"Agropyron cristatum",13.26,"Large"
"241",40,4009,8.76,"Agropyron desertorum",13.785,"Large"
"242",48,4804,70.92,"Agropyron michnoi",13.06,"Large"
"243",51,5102,5.08,"Agrostis clavata",5.735,"Large"
"244",64,6406,3,"Agrostis clavata",5.735,"Large"
"245",51,5108,10.26,"Agrostis clavata",5.735,"Large"
"246",51,5101,1.37,"Agrostis clavata",5.735,"Large"
"247",52,5201,0.96,"Agrostis clavata",5.735,"Large"
"248",32,3209,0.54,"Alhagi sparsifolia",1.67,"Large"
"249",53,5301,0.6,"Allium anisopodium",6.71,"Large"
"250",49,4903,0.07,"Allium anisopodium",6.71,"Large"
"251",55,5501,0.21,"Allium anisopodium",6.71,"Large"
"252",55,5506,0.01,"Allium anisopodium",6.71,"Large"
"253",51,5104,0.23,"Allium anisopodium",6.71,"Large"
"254",55,5504,0.24,"Allium anisopodium",6.71,"Large"
"255",53,5306,0.72,"Allium anisopodium",6.71,"Large"
"256",54,5409,1.05,"Allium anisopodium",6.71,"Large"
"257",60,6001,0.58,"Allium anisopodium",6.71,"Large"
"258",60,6006,0.45,"Allium anisopodium",6.71,"Large"
"259",60,6004,1.05,"Allium anisopodium",6.71,"Large"
"260",60,6007,0.48,"Allium anisopodium",6.71,"Large"
"261",55,5503,0.52,"Allium anisopodium",6.71,"Large"
"262",54,5407,5.21,"Allium anisopodium",6.71,"Large"
"263",54,5401,1.4,"Allium anisopodium",6.71,"Large"
"264",53,5307,2.72,"Allium anisopodium",6.71,"Large"
"265",57,5706,0.56,"Allium anisopodium",6.71,"Large"
"266",58,5806,1.29,"Allium anisopodium",6.71,"Large"
"267",58,5802,3.03,"Allium anisopodium",6.71,"Large"
"268",57,5709,0.64,"Allium anisopodium",6.71,"Large"
"269",55,5502,0.4,"Allium anisopodium",6.71,"Large"
"270",54,5406,0.19,"Allium anisopodium",6.71,"Large"
"271",55,5509,0.19,"Allium anisopodium",6.71,"Large"
"272",48,4808,0.35,"Allium bidentatum",19.93,"Large"
"273",47,4708,0.69,"Allium bidentatum",19.93,"Large"
"274",54,5402,2.6,"Allium bidentatum",19.93,"Large"
"275",48,4809,6.19,"Allium bidentatum",19.93,"Large"
"276",47,4709,1.42,"Allium bidentatum",19.93,"Large"
"277",48,4806,10.4,"Allium bidentatum",19.93,"Large"
"278",47,4705,2.05,"Allium bidentatum",19.93,"Large"
"279",50,5009,4.28,"Allium bidentatum",19.93,"Large"
"280",49,4908,1.29,"Allium bidentatum",19.93,"Large"
"281",53,5303,1.01,"Allium bidentatum",19.93,"Large"
"282",45,4508,3.18,"Allium bidentatum",19.93,"Large"
"283",44,4405,1.47,"Allium bidentatum",19.93,"Large"
"284",45,4510,1.88,"Allium bidentatum",19.93,"Large"
"285",57,5707,1.34,"Allium bidentatum",19.93,"Large"
"286",50,5010,5.35,"Allium bidentatum",19.93,"Large"
"287",50,5005,8.64,"Allium bidentatum",19.93,"Large"
"288",50,5003,16.78,"Allium bidentatum",19.93,"Large"
"289",51,5110,0.88,"Allium bidentatum",19.93,"Large"
"290",48,4805,39.46,"Allium bidentatum",19.93,"Large"
"291",50,5006,0.55,"Allium bidentatum",19.93,"Large"
"292",46,4603,3.26,"Allium bidentatum",19.93,"Large"
"293",34,3404,20.94,"Allium bidentatum",19.93,"Large"
"294",48,4801,0.08,"Allium bidentatum",19.93,"Large"
"295",49,4906,0.61,"Allium bidentatum",19.93,"Large"
"296",50,5002,10.07,"Allium bidentatum",19.93,"Large"
"297",49,4904,1.4,"Allium bidentatum",19.93,"Large"
"298",52,5202,0.67,"Allium bidentatum",19.93,"Large"
"299",54,5404,0.62,"Allium bidentatum",19.93,"Large"
"300",52,5205,1.87,"Allium bidentatum",19.93,"Large"
"301",49,4907,3.37,"Allium bidentatum",19.93,"Large"
"302",45,4507,2.34,"Allium bidentatum",19.93,"Large"
"303",47,4706,0.72,"Allium bidentatum",19.93,"Large"
"304",42,4205,0.32,"Allium bidentatum",19.93,"Large"
"305",47,4703,0.69,"Allium bidentatum",19.93,"Large"
"306",45,4501,0.12,"Allium bidentatum",19.93,"Large"
"307",44,4410,1.3,"Allium bidentatum",19.93,"Large"
"308",43,4310,0.38,"Allium bidentatum",19.93,"Large"
"309",57,5710,2.36,"Allium bidentatum",19.93,"Large"
"310",43,4301,3.75,"Allium bidentatum",19.93,"Large"
"311",51,5106,0.49,"Allium bidentatum",19.93,"Large"
"312",61,6102,0.94,"Allium bidentatum",19.93,"Large"
"313",48,4804,6.12,"Allium bidentatum",19.93,"Large"
"314",57,5706,0.42,"Allium bidentatum",19.93,"Large"
"315",51,5107,0.31,"Allium bidentatum",19.93,"Large"
"316",45,4505,0.75,"Allium bidentatum",19.93,"Large"
"317",47,4704,0.45,"Allium bidentatum",19.93,"Large"
"318",61,6104,0.66,"Allium bidentatum",19.93,"Large"
"319",54,5406,0.17,"Allium bidentatum",19.93,"Large"
"320",49,4910,1.23,"Allium bidentatum",19.93,"Large"
"321",48,4807,6.25,"Allium bidentatum",19.93,"Large"
"322",48,4802,3.78,"Allium bidentatum",19.93,"Large"
"323",49,4901,1.41,"Allium bidentatum",19.93,"Large"
"324",45,4502,1.26,"Allium bidentatum",19.93,"Large"
"325",50,5008,1.35,"Allium bidentatum",19.93,"Large"
"326",52,5209,0.45,"Allium bidentatum",19.93,"Large"
"327",52,5207,0.88,"Allium bidentatum",19.93,"Large"
"328",52,5201,1.23,"Allium bidentatum",19.93,"Large"
"329",48,4810,1.27,"Allium bidentatum",19.93,"Large"
"330",49,4902,1.18,"Allium bidentatum",19.93,"Large"
"331",46,4609,2.42,"Allium bidentatum",19.93,"Large"
"332",61,6109,0.3,"Allium bidentatum",19.93,"Large"
"333",50,5001,10.27,"Allium bidentatum",19.93,"Large"
"334",50,5007,8.87,"Allium bidentatum",19.93,"Large"
"335",45,4506,3.96,"Allium bidentatum",19.93,"Large"
"336",53,5304,9.6,"Allium bidentatum",19.93,"Large"
"337",61,6101,1.4,"Allium bidentatum",19.93,"Large"
"338",54,5403,2.93,"Allium bidentatum",19.93,"Large"
"339",51,5102,0.78,"Allium bidentatum",19.93,"Large"
"340",42,4204,11.28,"Allium mongolicum",13.54,"Large"
"341",26,2609,0.41,"Allium mongolicum",13.54,"Large"
"342",40,4002,3.05,"Allium mongolicum",13.54,"Large"
"343",31,3106,0.18,"Allium mongolicum",13.54,"Large"
"344",34,3401,0.18,"Allium mongolicum",13.54,"Large"
"345",27,2704,0.01,"Allium mongolicum",13.54,"Large"
"346",37,3707,1.45,"Allium mongolicum",13.54,"Large"
"347",32,3207,1.54,"Allium mongolicum",13.54,"Large"
"348",41,4104,4.32,"Allium mongolicum",13.54,"Large"
"349",32,3201,0.09,"Allium mongolicum",13.54,"Large"
"350",35,3509,27.88,"Allium mongolicum",13.54,"Large"
"351",40,4004,1.97,"Allium mongolicum",13.54,"Large"
"352",34,3409,12.85,"Allium mongolicum",13.54,"Large"
"353",37,3703,0.8,"Allium mongolicum",13.54,"Large"
"354",46,4610,0.05,"Allium mongolicum",13.54,"Large"
"355",56,5602,23.23,"Allium mongolicum",13.54,"Large"
"356",42,4202,6.54,"Allium mongolicum",13.54,"Large"
"357",31,3108,4.39,"Allium mongolicum",13.54,"Large"
"358",26,2602,0.41,"Allium mongolicum",13.54,"Large"
"359",58,5804,5.68,"Allium mongolicum",13.54,"Large"
"360",43,4308,0.49,"Allium mongolicum",13.54,"Large"
"361",42,4205,6.86,"Allium mongolicum",13.54,"Large"
"362",32,3204,8.28,"Allium mongolicum",13.54,"Large"
"363",64,6403,8.03,"Allium mongolicum",13.54,"Large"
"364",31,3109,1.8,"Allium mongolicum",13.54,"Large"
"365",2,208,0.03,"Allium mongolicum",13.54,"Large"
"366",41,4110,4.46,"Allium mongolicum",13.54,"Large"
"367",38,3809,6.37,"Allium mongolicum",13.54,"Large"
"368",32,3202,20.97,"Allium mongolicum",13.54,"Large"
"369",40,4008,0.04,"Allium mongolicum",13.54,"Large"
"370",43,4303,0.56,"Allium mongolicum",13.54,"Large"
"371",31,3102,0.6,"Allium mongolicum",13.54,"Large"
"372",43,4302,0.56,"Allium mongolicum",13.54,"Large"
"373",40,4006,5.3,"Allium mongolicum",13.54,"Large"
"374",36,3609,19.15,"Allium mongolicum",13.54,"Large"
"375",32,3206,1.39,"Allium mongolicum",13.54,"Large"
"376",53,5308,0.52,"Allium mongolicum",13.54,"Large"
"377",25,2502,1.75,"Allium mongolicum",13.54,"Large"
"378",40,4007,9.81,"Allium mongolicum",13.54,"Large"
"379",27,2703,0.16,"Allium mongolicum",13.54,"Large"
"380",34,3402,0.33,"Allium mongolicum",13.54,"Large"
"381",42,4206,1.1,"Allium mongolicum",13.54,"Large"
"382",36,3608,2.12,"Allium mongolicum",13.54,"Large"
"383",30,3004,11.03,"Allium mongolicum",13.54,"Large"
"384",27,2708,0.21,"Allium mongolicum",13.54,"Large"
"385",46,4602,1.13,"Allium mongolicum",13.54,"Large"
"386",53,5303,1.01,"Allium mongolicum",13.54,"Large"
"387",56,5607,20.27,"Allium mongolicum",13.54,"Large"
"388",56,5604,17.05,"Allium mongolicum",13.54,"Large"
"389",39,3904,0.32,"Allium mongolicum",13.54,"Large"
"390",30,3009,1.28,"Allium mongolicum",13.54,"Large"
"391",29,2907,17.57,"Allium mongolicum",13.54,"Large"
"392",34,3403,0.4,"Allium mongolicum",13.54,"Large"
"393",47,4710,1.44,"Allium mongolicum",13.54,"Large"
"394",35,3504,1.26,"Allium mongolicum",13.54,"Large"
"395",46,4605,2.27,"Allium mongolicum",13.54,"Large"
"396",43,4304,2.25,"Allium mongolicum",13.54,"Large"
"397",25,2504,2.68,"Allium mongolicum",13.54,"Large"
"398",36,3604,11.11,"Allium mongolicum",13.54,"Large"
"399",40,4010,5.53,"Allium mongolicum",13.54,"Large"
"400",54,5408,2.25,"Allium mongolicum",13.54,"Large"
"401",32,3209,1.8,"Allium mongolicum",13.54,"Large"
"402",41,4107,0.99,"Allium mongolicum",13.54,"Large"
"403",46,4608,0.41,"Allium mongolicum",13.54,"Large"
"404",29,2909,10.67,"Allium mongolicum",13.54,"Large"
"405",36,3606,2.03,"Allium mongolicum",13.54,"Large"
"406",43,4301,0.67,"Allium mongolicum",13.54,"Large"
"407",41,4103,2.08,"Allium mongolicum",13.54,"Large"
"408",29,2902,4.52,"Allium mongolicum",13.54,"Large"
"409",43,4309,0.72,"Allium mongolicum",13.54,"Large"
"410",39,3909,2.33,"Allium mongolicum",13.54,"Large"
"411",40,4003,0.03,"Allium mongolicum",13.54,"Large"
"412",37,3704,12.47,"Allium mongolicum",13.54,"Large"
"413",56,5608,17.96,"Allium mongolicum",13.54,"Large"
"414",56,5609,14.12,"Allium mongolicum",13.54,"Large"
"415",37,3702,0.01,"Allium mongolicum",13.54,"Large"
"416",25,2503,8.01,"Allium mongolicum",13.54,"Large"
"417",29,2904,9.76,"Allium mongolicum",13.54,"Large"
"418",62,6208,0.73,"Allium mongolicum",13.54,"Large"
"419",32,3203,2.39,"Allium mongolicum",13.54,"Large"
"420",31,3104,3.79,"Allium mongolicum",13.54,"Large"
"421",36,3601,0.05,"Allium mongolicum",13.54,"Large"
"422",43,4305,5.84,"Allium mongolicum",13.54,"Large"
"423",46,4601,0.5,"Allium mongolicum",13.54,"Large"
"424",40,4001,4.04,"Allium mongolicum",13.54,"Large"
"425",41,4106,1.5,"Allium mongolicum",13.54,"Large"
"426",28,2809,0.08,"Allium mongolicum",13.54,"Large"
"427",31,3107,0.85,"Allium mongolicum",13.54,"Large"
"428",41,4109,9.1,"Allium mongolicum",13.54,"Large"
"429",26,2608,0.09,"Allium mongolicum",13.54,"Large"
"430",42,4201,5.2,"Allium mongolicum",13.54,"Large"
"431",38,3804,14.54,"Allium mongolicum",13.54,"Large"
"432",37,3701,1.07,"Allium mongolicum",13.54,"Large"
"433",36,3603,0.41,"Allium mongolicum",13.54,"Large"
"434",42,4208,13.85,"Allium polyrhizum",19.85,"Large"
"435",36,3601,18.39,"Allium polyrhizum",19.85,"Large"
"436",34,3403,8.67,"Allium polyrhizum",19.85,"Large"
"437",36,3603,9.99,"Allium polyrhizum",19.85,"Large"
"438",38,3802,1.61,"Allium polyrhizum",19.85,"Large"
"439",41,4105,17.66,"Allium polyrhizum",19.85,"Large"
"440",39,3908,8.95,"Allium polyrhizum",19.85,"Large"
